callsign,tail_number,dep,arr,ftfmDep,ftfmArr,ctfmDep,ctfmArr,delayDep,delayArr,ftfmDep_tw,ftfmArr_tw,ctfmDep_tw,ctfmArr_tw
DLH2EV,DAIBB,EDDM,LROP,-14100,-7421,-13800,-8062,5.0,-10.683333333333334,-16.0,-9.0,-16.0,-9.0
AEA058,ECMOM,SBGR,LEMD,-24600,10184,-23400,10437,20.0,4.216666666666667,-28.0,11.0,-26.0,11.0
AUI720,URPSC,LTBA,UKOO,-13800,-9165,-12360,-9120,24.0,0.75,-16.0,-11.0,-14.0,-11.0
DLH506,DABYQ,EDDF,SBGR,72300,114516,74460,115488,36.0,16.2,80.0,127.0,82.0,128.0
RYR22QY,EIEBO,LIBD,EDSB,-17040,-9413,-16440,-9697,10.0,-4.733333333333333,-19.0,-11.0,-19.0,-11.0
ANE84JJ,ECMSB,LEMH,LEPA,58500,60442,58800,60261,5.0,-3.0166666666666666,65.0,67.0,65.0,66.0
EZY63DB,OELQZ,EGPF,EGKK,72300,76575,73560,78014,21.0,23.983333333333334,80.0,85.0,81.0,86.0
THY140,TCJTK,LTBA,OERK,-23400,-8961,-21720,-8084,28.0,14.616666666666667,-26.0,-10.0,-25.0,-9.0
KAR405,VPBPI,UUBW,UBBB,44400,54788,44452,54840,0.8666666666666667,0.8666666666666667,49.0,60.0,49.0,60.0
BEE7JA,GFBEM,EGKK,EGHQ,43500,46522,44940,47117,24.0,9.916666666666666,48.0,51.0,49.0,52.0
PGT9TN,TCCPN,LTBJ,LTFJ,-12900,-9063,-11460,-8223,24.0,14.0,-15.0,-11.0,-13.0,-10.0
NTJ3105,SXDIZ,ESNO,ESSA,53700,56779,53940,57348,4.0,9.483333333333333,59.0,63.0,59.0,63.0
WZZ4EN,GWUKC,LHBP,EGGW,-18480,-9824,-17580,-8862,15.0,16.033333333333335,-21.0,-11.0,-20.0,-10.0
IBK2903,EIFVV,EKCH,EGKK,37800,44144,39420,45484,27.0,22.333333333333332,42.0,49.0,43.0,50.0
PGT6011,TCCPK,OEJN,LTAU,9900,22341,9258,20461,-10.7,-31.333333333333332,11.0,24.0,10.0,22.0
RYR30CH,EIDYE,LEXJ,GCTS,-14580,-2604,-14340,-3051,4.0,-7.45,-17.0,-3.0,-16.0,-4.0
SWR963,HBIPV,EDDT,LSZH,16800,21743,17700,21770,15.0,0.45,18.0,24.0,19.0,24.0
AZA6FA,EIEJN,SBGL,LIRF,63300,102677,63900,102677,10.0,0.0,70.0,114.0,71.0,114.0
ELY336,4XEHE,EHAM,LLBG,-16200,-1861,-13200,-47,50.0,30.233333333333334,-18.0,-3.0,-15.0,-1.0
FNY50Q4,,LFRH,LFTH,57600,68306,57900,66298,5.0,-33.46666666666667,64.0,75.0,64.0,73.0
AUA736K,S5AAN,LYBE,LOWW,58800,62344,59220,62823,7.0,7.983333333333333,65.0,69.0,65.0,69.0
SUS80,OYNCW,ENGM,EKYT,58800,61745,59100,61423,5.0,-5.366666666666666,65.0,68.0,65.0,68.0
DLH601,DABTL,OIIE,EDDF,80700,99384,81120,99204,7.0,-3.0,89.0,110.0,90.0,110.0
UPS10,N251UP,EDDK,ZSPD,21000,57208,21240,57066,4.0,-2.3666666666666667,23.0,63.0,23.0,63.0
CRL927,FGTUI,TFFR,LFPO,-3600,24098,-2880,23967,12.0,-2.183333333333333,-4.0,26.0,-4.0,26.0
VIR46Z,GVNYC,KJFK,EGLL,-3600,21114,-2340,21173,21.0,0.9833333333333333,-4.0,23.0,-3.0,23.0
NAX7001,LNLNN,ENGM,KJFK,-23400,2775,-22007,3130,23.216666666666665,5.916666666666667,-26.0,3.0,-25.0,3.0
GFA013,A9CAQ,UUDD,OBBI,16200,34010,16800,34010,10.0,0.0,18.0,37.0,18.0,37.0
JAF1818,OOJAY,DAOO,EBCI,63000,71645,64100,72229,18.333333333333332,9.733333333333333,70.0,79.0,71.0,80.0
RAM781S,CNRGG,LFPO,GMME,-16200,-5648,-15060,-5619,19.0,0.48333333333333334,-18.0,-7.0,-17.0,-7.0
MEA305,ODMRS,HECA,OLBA,28800,33281,29683,33037,14.716666666666667,-4.066666666666666,32.0,36.0,32.0,36.0
RZO2143,CSTKQ,LPPT,LPPI,30600,40922,32280,42000,28.0,17.966666666666665,34.0,45.0,35.0,46.0
FIN1RU,OHATN,ESSB,EFHK,55800,59517,56340,60317,9.0,13.333333333333334,62.0,66.0,62.0,67.0
EWG4C,DAEWJ,EDDH,EGLL,41100,45846,42780,47798,28.0,32.53333333333333,45.0,50.0,47.0,53.0
KIS6031,URCPH,OIIE,LTBA,32400,43587,32605,44280,3.4166666666666665,11.55,36.0,48.0,36.0,49.0
OOPXL,,EBZR,EBAW,32400,36600,33000,36600,10.0,0.0,36.0,40.0,36.0,40.0
PGT656,TCNBF,LTFJ,ORBI,-9300,51,-8340,111,16.0,1.0,-11.0,0.0,-10.0,0.0
ETD45N,A6EYT,OMAA,EDDL,-6900,17769,-4500,19878,40.0,35.15,-8.0,19.0,-5.0,22.0
MEA275,ODMRM,OLBA,UDYZ,19200,26380,19337,25320,2.283333333333333,-17.666666666666668,21.0,29.0,21.0,28.0
BAW243,GZBKH,EGLL,MMMX,-34800,4706,-31620,6598,53.0,31.533333333333335,-39.0,5.0,-36.0,7.0
AZA512,IBIXP,LIRF,LKPR,27000,33225,27600,32856,10.0,-6.15,30.0,36.0,30.0,36.0
AZA77M,EIIMI,LIRF,LIRQ,28800,31516,29340,31154,9.0,-6.033333333333333,32.0,35.0,32.0,34.0
